Fujijo Seitokai Shikkou-bu - Best FriendS [Insane] (No Dap),385
MOMOIRO CLOVER Z - SANTA SAN [X-Mas] (monstrata),259
ARCIEN - Future Son [N A S Y A'S OK DAD] (Mishima Yurara),219
Fujijo Seitokai Shikkou-bu - Best FriendS -TV Size- [Fycho's Insane] (Flask),204
Sleeping With Sirens - If You Can't Hang [Bearizm's Extreme] (pishifat),175
Lia - Bravely You (TV Size) [-Tochi's Insane] (Enon),172
ALiCE'S EMOTiON - Dark Flight Dreamer [Dreamer] (Sakaue Nachi),157
Demetori - Kanjou no Matenrou ~ World's End [Extra Stage] (GoldenWolf),135
Tsunamaru - Daidai Genome [Insane] (Lust),131
yuikonnu & ayaponzu* - Super Nuko World [Guy's Extra] (AllStar12),130
AKI AKANE - FIRST [Saut's Extra] (Milan-),128
Syaro(CV.Uchida Maaya) - Caffeine Fighter [Kilimanjaro] (Doormat),128
HO-KAGO TEA TIME - Kira Kira Days [Shiawase!!] (Kagetsu),123
Noboru feat.Mitani Nana - Shiroi Yuki no Princess wa [Snow White] (Natsu),122
yuikonnu - caramel heaven [Skystar's Caramel] (sukiNathan),122
Ni-Sokkususu - Blade Dance [Kneesocks] (Bearizm),120
MY FIRST STORY - ALONE [Isolation] (Saut),120
FictionJunction YUUKA - Yakusoku [Promise] (Riven),104
M.Iz - Kakenukeru Anime Song Medley IV [TWO DIMENSIONS] (monstrata),102
Station Earth - Cold Green Eyes ft. Roos Denayer [Divine] (Bearizm),102
positive MAD-crew - Mynarco Addiction [Ex] (Okoratu),100
supercell - Kimi no Shiranai Monogatari -TV Edit- [Insane] (walaowey),99
WEAVER - Kuchizuke Diamond [Lemur] (jieusieu),95
SoundTeMP - Dreamer's Dream [PRESSURE] (P A N),90
Katarzyna Laska - No Ordinary Girl [Insane] (Tidek),89
Lia - Bravely You (TV Size) [Alyce's Extra] (Homura-),87
ArsMagna - Himitsu o Choudai [Insane] (Kyubey),87
Konuko - Toumei Elegy [Skystar's Tragic Love Extra] (Awaken),81
Remo Prototype[CV: Hanamori Yumiri] - Sendan Life [Crystal's Garakowa] (Narcissu),73
nano - Bull's eye [Skystar's Extra] (Chloe),73
Equilibrium - Waldschrein [Mein Land] (Maakkeli),70
FELT - New World [Illusion] (Natsu),68
AKINO from bless4 - MIIRO [Hime] (Sakaue Nachi),67
Shiena Nishizawa - Brand-new World [Soul] (Meg),65
Our Stolen Theory - United (L.A.O.S Remix) [Infinity] (Asphyxia),63
Sana - Byoumei Koiwazurai [Lovesick] ([ Joey ]),62
Tia - The Glory Days [Rainbow] (Nara),62
Ito Kanako - Skyclad no Kansokusha [Guy's Insane] (N a s y a),61
HoneyWorks - Ima Suki ni Naru. ver.Capi [First Love] (Nara),61
Shiena Nishizawa - Meaning [True Meaning] (Taeyang),60
Suara - Amakakeru Hoshi TV ver. [Masquerade] (Taeyang),59
Demetori - Shoujo Satori ~ Innumerable Eyes [Extra] (A Mystery),59
Charlie Clouser - Hello Zepp [Twist] (Arf),59
sana - Kokuhaku Rival Sengen [First Love] (Nara),58
ALiCE'S EMOTiON - Dark Flight Dreamer [Last Spell] (Natsu),58
nao - Toaru Shoukoku no Ohimesama ga... [Princess] (Lami),57
Komatsu Mikako & Ishihara Kaori - Dazzling [Insane] (P A N),56
MY FIRST STORY - Itsuwari NEUROSE [Madness] (Saut),55
senya - Ondosa [Lunatic] (Dailycare),55
Petit Rabbit's - Takarabako no Jet Coaster [Jet Coaster] (Taeyang),54
Chihara Minori - Aitakatta Sora [Dream World] (monstrata),53
Demetori - Kuuchuu ni Shizumu Kishinjou ~ Counter-Clock World [Extra Stage] (jonathanlfj),53
HoneyWorks - Akatsuki Zukuyo [Taeyang's Extra] ([C u r i]),51
marina - Towa yori Towa ni [Eternity] (Broccoly),50
yuikonnu - Ai no Scenario [Extra] (Guy),50
"JO*STARS ~TOMMY, Coda, JIN~ - JoJo Sono Chi no Kioku~end of THE WORLD~ [STAR PLATINUM] (Atsuro)",50
Nanamori-chu * Goraku-bu - Happy Time wa Owaranai [Eternal Happiness] (Setz),47
beatMARIO - Night of Knights [The World] (alacat),46
Apocalyptica - Reign of Fear [VI] (pishifat),46
Lia - Bravely You (TV Size) [ZHIEND] (Homura-),44
TwoThirds & Feint - Epiphany (feat. Veela) [Revelation] (Aiceo),43
